first_name,last_name,birth_date,dept_no,from_date,to_date,title,emp_no
Hilari,Morton,1965-01-03,d007,1994-03-10,1999-01-01,Senior Staff,10095
Ohad,Esposito,1965-01-19,d005,1998-08-06,1999-01-01,Technique Leader,10122
Dipayan,Seghrouchni,1965-01-23,d007,1987-03-30,1999-01-01,Senior Staff,10291
Takahito,Gecsei,1965-01-19,d007,1993-10-16,1996-07-21,Staff,10410
Kokou,Iisaka,1965-01-01,d008,1987-09-20,1999-01-01,Senior Staff,10476
Make,Baba,1965-01-25,d002,1988-05-18,1989-06-03,Staff,10480
Teunis,Noriega,1965-01-09,d004,1999-02-12,1999-01-01,Technique Leader,10663
Lech,Himler,1965-01-19,d008,1992-01-21,1999-01-01,Senior Staff,10762
Juyoung,Seghrouchni,1965-01-24,d004,1993-08-02,1999-01-01,Senior Engineer,10933
Jeanna,Riesenhuber,1965-01-24,d007,1998-03-14,2000-02-22,Senior Staff,11015
Hideo,Daescu,1965-01-08,d008,1992-02-25,2002-04-04,Senior Staff,11126
Mario,Cochrane,1965-02-01,d005,1985-03-30,1991-02-06,Engineer,11157
Yongmao,Zwicker,1965-01-15,d004,1987-10-19,1997-09-13,Engineer,11432
Keiichiro,Glinert,1965-01-21,d004,1993-09-16,1999-01-01,Engineer,12155
Rasiah,Sudkamp,1965-01-10,d005,1995-04-18,1999-01-01,Senior Engineer,12408
Morrie,Schurmann,1965-01-30,d002,1998-12-31,1999-01-01,Staff,12643
Kazuhiko,Sidou,1965-01-16,d004,1991-09-01,1999-01-01,Technique Leader,13499
Angus,Chelton,1965-01-10,d006,1986-04-18,1987-02-02,Senior Engineer,13957
Denny,Tchuente,1965-01-03,d005,1991-05-30,1999-01-01,Assistant Engineer,14075
Sudhanshu,Demian,1965-01-03,d003,1994-07-23,1999-01-01,Senior Staff,14104
Magdalena,Cannard,1965-01-10,d004,1994-04-22,1999-01-01,Engineer,14127
Caolyn,Setiz,1965-01-22,d007,1990-02-06,1999-01-01,Senior Staff,14158
Sastry,Marrevee,1965-01-19,d004,1999-09-25,1999-01-01,Engineer,14476
Richard,Sinitsyn,1965-01-18,d007,1993-06-27,1993-09-16,Senior Staff,14551
Nakhoon,Luga,1965-01-14,d007,1986-12-18,1999-01-01,Senior Staff,14907
Nikolaos,Kruskal,1965-01-18,d004,1990-12-17,1999-01-01,Engineer,15050
Bouchung,Bugrara,1965-01-30,d002,1990-06-18,1999-01-01,Senior Staff,15058
Geoff,Soicher,1965-01-10,d008,1988-08-14,2001-03-01,Senior Staff,15376
Arvin,Rabejac,1965-01-17,d005,1994-01-01,1999-01-01,Engineer,15413
Remmert,Schahn,1965-01-14,d007,1986-09-06,1999-01-01,Senior Staff,16461
Gaurav,Swick,1965-01-21,d004,1996-05-07,1999-01-01,Assistant Engineer,16528
Morris,Garigliano,1965-01-15,d002,1995-05-24,1999-01-01,Senior Staff,17013
Berry,DeMori,1965-01-02,d004,1992-12-27,1999-01-01,Engineer,17206
Yaghout,Kenevan,1965-01-31,d004,2000-09-15,1999-01-01,Engineer,17369
Zengping,Boreale,1965-01-11,d007,1998-12-16,1999-01-01,Staff,17447
Teiji,Picco,1965-01-12,d008,1992-09-17,1999-11-08,Staff,17618
Gennady,Roison,1965-01-16,d005,1989-12-06,1999-01-01,Assistant Engineer,17731
Gro,Gini,1965-01-28,d005,1997-09-28,2001-07-11,Engineer,17799
Filipp,Carrere,1965-01-06,d004,1989-01-09,1999-01-01,Technique Leader,17970
Mabhin,Calkin,1965-01-31,d004,1989-11-30,1999-01-01,Engineer,17988
Adil,Matzke,1965-01-07,d005,1987-05-08,1999-01-01,Engineer,18021
Denis,Falster,1965-01-08,d008,1998-12-21,1999-06-03,Staff,18187
Filipp,Rousseau,1965-01-19,d005,1995-06-07,1999-01-01,Engineer,18424
Stafford,Honglei,1965-01-03,d009,1998-08-16,1999-01-01,Staff,18583
Surveyors,Crouzet,1965-01-21,d003,1989-04-24,1999-01-01,Staff,18617
Taiji,Jarecki,1965-01-09,d005,1991-06-27,1999-01-01,Engineer,18810
Elzbieta,Morris,1965-01-24,d004,1988-07-12,1999-01-01,Senior Engineer,19236
Satoru,Yoshizawa,1965-01-19,d009,1994-03-27,1999-01-01,Senior Staff,19350
Ziva,Kowalchuk,1965-01-30,d005,1987-06-13,1999-01-01,Senior Engineer,19803
Utz,Heuter,1965-01-18,d001,1986-06-15,1999-01-01,Senior Staff,20100
Kazunori,Peak,1965-01-23,d009,1999-08-13,1999-01-01,Senior Staff,20128
Rafael,Skafidas,1965-01-10,d004,1991-03-28,1999-01-01,Senior Engineer,20129
Vidar,Demri,1965-01-12,d009,1999-12-31,1999-01-01,Staff,20248
Candida,Benveniste,1965-01-24,d004,1999-01-20,1999-01-01,Engineer,20313
Christoph,Trystram,1965-01-30,d009,1993-10-15,1999-01-01,Staff,20500
Valeri,Escriba,1965-01-26,d004,1994-04-09,1998-05-02,Engineer,20712
Heejo,Brodie,1965-01-17,d003,1996-12-27,1997-05-17,Senior Staff,20720
Otmar,Rothenberg,1965-01-21,d004,1989-03-14,1999-01-01,Senior Engineer,20885
Jianhui,Cangellaris,1965-01-21,d004,1991-10-06,1999-01-01,Engineer,21181
Piyush,Danecki,1965-01-21,d005,2000-01-08,1999-01-01,Engineer,21188
Alagu,Luders,1965-01-12,d002,1996-04-03,1997-12-14,Staff,21534
Yongmin,Lanteri,1965-01-01,d007,1988-02-16,2002-03-19,Senior Staff,21546
Karsten,Azadmanesh,1965-01-09,d005,1985-11-29,1999-01-01,Senior Engineer,21843
Mohammed,Brizzi,1965-01-04,d007,1991-12-28,1999-01-01,Senior Staff,21909
Sangeeta,Georg,1965-01-27,d002,1992-07-31,1998-03-14,Staff,22027
Huai,Birch,1965-01-29,d004,2002-06-12,1999-01-01,Assistant Engineer,22185
Perla,Jumpertz,1965-01-20,d007,1994-08-24,1999-01-01,Senior Staff,22415
Jasminko,Bresenham,1965-01-27,d005,1994-01-19,1999-01-01,Staff,22451
Barry,Unno,1965-01-06,d001,1990-11-16,1999-01-01,Senior Staff,22455
Rutger,Binkley,1965-01-29,d004,1989-10-16,2001-11-02,Senior Engineer,22502
Manibrata,Genther,1965-01-01,d004,1988-01-15,1999-01-01,Engineer,22926
Hilari,Fairtlough,1965-01-02,d004,1986-12-15,1999-01-01,Technique Leader,23396
Jaana,Perez,1965-01-26,d005,1996-03-11,1999-01-01,Technique Leader,24080
Abdelaziz,Atrawala,1965-01-16,d008,1993-03-28,1997-02-23,Staff,24189
Roddy,Rubsam,1965-01-25,d005,1993-09-19,1999-01-01,Senior Engineer,24205
Lubomir,Wroclawski,1965-01-25,d006,1993-07-25,1999-01-01,Engineer,24377
Zhonghui,Conta,1965-01-04,d007,1994-09-10,1999-01-01,Staff,24394
Dannz,Grospietsch,1965-01-10,d004,1990-09-01,2000-10-12,Senior Engineer,24421
Anwar,Passafiume,1965-01-12,d007,1987-01-30,1999-01-01,Senior Staff,24553
Cordelia,Gischer,1965-01-20,d004,1989-03-14,1999-01-01,Engineer,24571
Ingmar,Basawa,1965-01-19,d008,1991-11-09,1999-01-01,Senior Staff,25488
Bilhanan,Karcich,1965-01-19,d007,1996-04-09,1997-02-04,Staff,26476
Shietung,Billingsley,1965-01-27,d007,1998-11-07,1998-12-02,Senior Staff,26503
Berto,Bruckman,1965-01-06,d005,1991-11-23,1994-03-27,Engineer,26617
Nevin,Rodham,1965-01-28,d008,1998-12-14,1999-01-01,Senior Staff,26629
Jiakeng,Kalorkoti,1965-01-21,d005,1994-12-25,1999-01-01,Engineer,26671
Zongyan,Dalphin,1965-01-25,d005,1988-04-23,1999-01-01,Senior Engineer,26788
Chenyi,Plump,1965-01-06,d007,1992-06-23,1995-05-22,Staff,27150
Wanqing,Krohm,1965-01-19,d009,1991-01-22,1999-01-01,Senior Staff,27331
Piyawadee,Leppanen,1965-01-28,d002,1999-02-25,1999-01-01,Senior Staff,27378
Shuji,Kandlur,1965-01-25,d004,1990-03-02,1999-01-01,Engineer,27620
Manu,Rosiles,1965-01-28,d007,1998-03-03,1999-01-01,Senior Staff,27686
Falguni,Pezzoli,1965-01-15,d004,1996-12-23,1999-01-01,Engineer,27699
Tooru,Veldwijk,1965-01-27,d009,1993-11-21,1999-01-01,Senior Staff,27767
KayLiang,Miyakawa,1965-01-12,d004,1995-11-22,2000-02-07,Technique Leader,27970
Xinglin,Mitsuhashi,1965-01-29,d005,1988-12-14,1999-01-01,Engineer,28193
Mayuko,Vitiello,1965-01-11,d004,1993-12-22,1995-10-16,Technique Leader,28222
Chenxi,Sundgren,1965-01-09,d005,1986-09-02,1999-01-01,Senior Engineer,28974
Tua,Giveon,1965-01-18,d004,1998-09-09,1999-01-01,Technique Leader,28988
Xumin,Thorensen,1965-01-06,d001,1998-04-26,1999-01-01,Staff,29130
Gilbert,Calkin,1965-01-14,d009,1988-03-21,1999-01-01,Senior Staff,29265
Satoru,Vidal,1965-01-30,d004,1998-05-02,1999-01-01,Assistant Engineer,29380
Valery,Mersereau,1965-01-22,d004,1998-07-01,1999-01-01,Assistant Engineer,29418
Kolar,Steenbeek,1965-01-17,d005,1986-10-18,1999-01-01,Senior Engineer,29679
Jouko,Hellwagner,1965-01-29,d004,2000-10-23,1999-01-01,Senior Engineer,29782
Pranay,Giarratana,1965-01-27,d004,1992-09-29,1999-01-01,Senior Engineer,29954
Kousuke,Vecchio,1965-01-24,d004,1990-02-23,1999-01-01,Engineer,30007
Tetsushi,Conta,1965-01-08,d008,1995-07-04,1999-01-01,Senior Staff,30035
Mayuko,Skafidas,1965-01-26,d005,1999-04-19,1999-01-01,Technique Leader,30154
Leon,Potthoff,1965-01-26,d005,1985-12-08,1999-01-01,Engineer,30182
Randi,Avouris,1965-01-28,d005,1986-07-16,1999-01-01,Engineer,30465
Sailaja,Chvatal,1965-01-11,d007,1999-05-18,1999-01-01,Staff,30484
Yishai,Terlouw,1965-01-18,d005,1986-09-19,1999-01-07,Engineer,30552
Gudjon,Majewski,1965-01-08,d005,1999-10-26,1999-01-01,Senior Engineer,30695
Yakkov,Samarati,1965-01-06,d001,1997-10-10,1999-01-01,Senior Staff,30938
Divine,Sidhu,1965-01-04,d002,1989-07-05,1999-01-01,Senior Staff,31147
Tuval,Waleschkowski,1965-01-08,d008,1987-10-16,1988-12-14,Senior Staff,31170
Leandro,Gist,1965-01-12,d004,1993-02-03,1999-01-01,Technique Leader,31188
Abdelwaheb,Dulin,1965-01-30,d004,1993-08-05,1999-01-01,Senior Engineer,31207
Oksana,Zultner,1965-01-01,d002,1991-03-23,1999-01-01,Senior Staff,31341
Harngdar,Schapire,1965-01-13,d005,1996-11-09,1999-01-01,Senior Engineer,31514
Mark,Lalonde,1965-01-10,d001,1996-11-24,1999-01-01,Staff,31568
Qingxiang,Gewali,1965-01-05,d004,1997-09-22,1998-12-01,Engineer,31599
Toong,Veldwijk,1965-01-24,d004,1986-07-28,1996-04-26,Assistant Engineer,31629
Murthy,Peek,1965-01-10,d004,2000-10-30,1999-01-01,Engineer,31909
Terresa,Peres,1965-01-08,d001,1990-09-15,1999-01-01,Staff,32347
Atreye,Stanger,1965-01-17,d005,1993-09-10,1999-01-01,Assistant Engineer,32552
Piyush,Paciorek,1965-01-23,d003,1991-07-18,1991-08-07,Staff,32622
Ingmar,Nannarelli,1965-01-12,d008,1988-06-10,1999-01-01,Senior Staff,32649
Radoslaw,Maliniak,1965-01-16,d007,1997-11-17,2001-09-18,Staff,32714
Tadahiko,Melton,1965-01-23,d005,1995-01-07,1999-01-01,Engineer,32844
Jessie,Thorelli,1965-01-12,d009,1999-12-16,1999-01-01,Senior Staff,33025
Steen,Fasbender,1965-01-29,d004,1993-02-14,1999-01-01,Technique Leader,33215
Adamantios,Vanwelkenhuysen,1965-02-01,d005,1994-01-11,2000-08-18,Assistant Engineer,33293
Clyde,Swift,1965-01-02,d001,1994-11-14,1996-12-29,Staff,33606
Anwar,Collette,1965-01-15,d005,1994-03-22,2001-02-03,Senior Engineer,33722
Angel,Sichman,1965-01-08,d007,1988-11-16,1999-01-01,Senior Staff,34077
Kyoichi,Callaway,1965-01-05,d003,1990-12-30,1999-01-01,Staff,34261
Chinhyun,Bauknecht,1965-01-31,d005,1986-12-19,1999-01-01,Senior Engineer,34446
Naftaly,Foong,1965-01-08,d004,1991-05-10,1999-01-01,Engineer,34452
Felicidad,Kumaresan,1965-01-28,d007,1994-09-06,1999-01-01,Staff,34505
Erzsebet,Shigei,1965-01-10,d004,1991-01-21,1995-01-16,Senior Engineer,34533
Moni,Kohling,1965-01-16,d001,1994-07-21,2001-09-18,Staff,34780
Ennio,Babu,1965-01-27,d004,1994-08-31,1999-01-01,Senior Engineer,34788
Bokyung,Stamatiou,1965-01-12,d004,1991-02-12,1999-01-01,Technique Leader,34936
Jiang,Waschkowski,1965-01-04,d004,1989-05-27,1999-01-01,Engineer,35044
Leif,Ashish,1965-01-17,d009,1994-10-14,1999-01-01,Senior Staff,35087
